Pecha ID,Download Link,Non Word Ratio
P4BCCB055,https://github.com/OpenPecha/P4BCCB055/archive/refs/heads/botok.zip,0.06
P81FA3288,https://github.com/OpenPecha/P81FA3288/archive/refs/heads/botok.zip,0.09
PACA77A7C,https://github.com/OpenPecha/PACA77A7C/archive/refs/heads/botok.zip,0.13
PA2767344,https://github.com/OpenPecha/PA2767344/archive/refs/heads/botok.zip,0.08
P3E9716AE,https://github.com/OpenPecha/P3E9716AE/archive/refs/heads/botok.zip,0.09
PA2C709C8,https://github.com/OpenPecha/PA2C709C8/archive/refs/heads/botok.zip,0.05
P484E85A2,https://github.com/OpenPecha/P484E85A2/archive/refs/heads/botok.zip,0.07
P8E1EEE84,https://github.com/OpenPecha/P8E1EEE84/archive/refs/heads/botok.zip,0.08
P0E808408,https://github.com/OpenPecha/P0E808408/archive/refs/heads/botok.zip,0.09
P44A0CFCF,https://github.com/OpenPecha/P44A0CFCF/archive/refs/heads/botok.zip,0.09
PA7347EEF,https://github.com/OpenPecha/PA7347EEF/archive/refs/heads/botok.zip,0.1
P41351915,https://github.com/OpenPecha/P41351915/archive/refs/heads/botok.zip,0.04
P2100884D,https://github.com/OpenPecha/P2100884D/archive/refs/heads/botok.zip,0.13
PE50AC665,https://github.com/OpenPecha/PE50AC665/archive/refs/heads/botok.zip,0.07
PF3E1AF9E,https://github.com/OpenPecha/PF3E1AF9E/archive/refs/heads/botok.zip,0.08
PA42733A1,https://github.com/OpenPecha/PA42733A1/archive/refs/heads/botok.zip,0.09
PA8EE6EBD,https://github.com/OpenPecha/PA8EE6EBD/archive/refs/heads/botok.zip,0.06
P96FAE8E4,https://github.com/OpenPecha/P96FAE8E4/archive/refs/heads/botok.zip,0.11
P44152274,https://github.com/OpenPecha/P44152274/archive/refs/heads/botok.zip,0.12
PACDA9D41,https://github.com/OpenPecha/PACDA9D41/archive/refs/heads/botok.zip,0.11
PAE6EA76F,https://github.com/OpenPecha/PAE6EA76F/archive/refs/heads/botok.zip,0.11
P6DC00F9D,https://github.com/OpenPecha/P6DC00F9D/archive/refs/heads/botok.zip,0.08
P30774880,https://github.com/OpenPecha/P30774880/archive/refs/heads/botok.zip,0.05
P4EB2C2F2,https://github.com/OpenPecha/P4EB2C2F2/archive/refs/heads/botok.zip,0.08
PD4035CC7,https://github.com/OpenPecha/PD4035CC7/archive/refs/heads/botok.zip,0.08
PA5EC644A,https://github.com/OpenPecha/PA5EC644A/archive/refs/heads/botok.zip,0.05
PDB1ED394,https://github.com/OpenPecha/PDB1ED394/archive/refs/heads/botok.zip,0.07
P847E4D38,https://github.com/OpenPecha/P847E4D38/archive/refs/heads/botok.zip,0.08
P6EE98736,https://github.com/OpenPecha/P6EE98736/archive/refs/heads/botok.zip,0.1
P84242D2A,https://github.com/OpenPecha/P84242D2A/archive/refs/heads/botok.zip,0.07
P44F8A794,https://github.com/OpenPecha/P44F8A794/archive/refs/heads/botok.zip,0.1
PC5A0EB16,https://github.com/OpenPecha/PC5A0EB16/archive/refs/heads/botok.zip,0.08
PBF1DB1B2,https://github.com/OpenPecha/PBF1DB1B2/archive/refs/heads/botok.zip,0.1
P30078707,https://github.com/OpenPecha/P30078707/archive/refs/heads/botok.zip,0.11
P811ADACB,https://github.com/OpenPecha/P811ADACB/archive/refs/heads/botok.zip,0.1
P4CB0ECCC,https://github.com/OpenPecha/P4CB0ECCC/archive/refs/heads/botok.zip,0.1
P3378BE29,https://github.com/OpenPecha/P3378BE29/archive/refs/heads/botok.zip,0.05
P4A48C9DC,https://github.com/OpenPecha/P4A48C9DC/archive/refs/heads/botok.zip,0.08
P17288177,https://github.com/OpenPecha/P17288177/archive/refs/heads/botok.zip,0.09
P845D2D56,https://github.com/OpenPecha/P845D2D56/archive/refs/heads/botok.zip,0.04
P595A23E0,https://github.com/OpenPecha/P595A23E0/archive/refs/heads/botok.zip,0.09
P5FFC2AC1,https://github.com/OpenPecha/P5FFC2AC1/archive/refs/heads/botok.zip,0.19
PAFFD6663,https://github.com/OpenPecha/PAFFD6663/archive/refs/heads/botok.zip,0.07
P7E5664CE,https://github.com/OpenPecha/P7E5664CE/archive/refs/heads/botok.zip,0.2
P5237D7A2,https://github.com/OpenPecha/P5237D7A2/archive/refs/heads/botok.zip,0.09
PB34E99F3,https://github.com/OpenPecha/PB34E99F3/archive/refs/heads/botok.zip,0.12
P09E23C7D,https://github.com/OpenPecha/P09E23C7D/archive/refs/heads/botok.zip,0.07
P71526C55,https://github.com/OpenPecha/P71526C55/archive/refs/heads/botok.zip,0.1
P89764226,https://github.com/OpenPecha/P89764226/archive/refs/heads/botok.zip,0.18
P9E6EA794,https://github.com/OpenPecha/P9E6EA794/archive/refs/heads/botok.zip,0.11
P4264B2BD,https://github.com/OpenPecha/P4264B2BD/archive/refs/heads/botok.zip,0.08
P766B7496,https://github.com/OpenPecha/P766B7496/archive/refs/heads/botok.zip,0.06
PCC4F6364,https://github.com/OpenPecha/PCC4F6364/archive/refs/heads/botok.zip,0.06
PCC9E8EE9,https://github.com/OpenPecha/PCC9E8EE9/archive/refs/heads/botok.zip,0.05
PA190137F,https://github.com/OpenPecha/PA190137F/archive/refs/heads/botok.zip,0.1
PA8F14881,https://github.com/OpenPecha/PA8F14881/archive/refs/heads/botok.zip,0.1
P02F3943C,https://github.com/OpenPecha/P02F3943C/archive/refs/heads/botok.zip,0.11
PB6F8568D,https://github.com/OpenPecha/PB6F8568D/archive/refs/heads/botok.zip,0.05
PD6731041,https://github.com/OpenPecha/PD6731041/archive/refs/heads/botok.zip,0.07
P7B4D9442,https://github.com/OpenPecha/P7B4D9442/archive/refs/heads/botok.zip,0.08
P7B8ECEA7,https://github.com/OpenPecha/P7B8ECEA7/archive/refs/heads/botok.zip,0.12
P50AD1592,https://github.com/OpenPecha/P50AD1592/archive/refs/heads/botok.zip,0.07
P1225EE31,https://github.com/OpenPecha/P1225EE31/archive/refs/heads/botok.zip,0.08
P8C383831,https://github.com/OpenPecha/P8C383831/archive/refs/heads/botok.zip,0.14
PEA34D30B,https://github.com/OpenPecha/PEA34D30B/archive/refs/heads/botok.zip,0.1
P9020B554,https://github.com/OpenPecha/P9020B554/archive/refs/heads/botok.zip,0.1
P14DC7DE4,https://github.com/OpenPecha/P14DC7DE4/archive/refs/heads/botok.zip,0.09
P332D7206,https://github.com/OpenPecha/P332D7206/archive/refs/heads/botok.zip,0.09
PD7FD3E31,https://github.com/OpenPecha/PD7FD3E31/archive/refs/heads/botok.zip,0.08
P727D67DF,https://github.com/OpenPecha/P727D67DF/archive/refs/heads/botok.zip,0.1
P1522A5BD,https://github.com/OpenPecha/P1522A5BD/archive/refs/heads/botok.zip,0.1
P852C48A0,https://github.com/OpenPecha/P852C48A0/archive/refs/heads/botok.zip,0.03
P4C0642FA,https://github.com/OpenPecha/P4C0642FA/archive/refs/heads/botok.zip,0.08
P8AA34A63,https://github.com/OpenPecha/P8AA34A63/archive/refs/heads/botok.zip,0.07
P4781E4BC,https://github.com/OpenPecha/P4781E4BC/archive/refs/heads/botok.zip,0.17
P5D632458,https://github.com/OpenPecha/P5D632458/archive/refs/heads/botok.zip,0.08
PD8A263D2,https://github.com/OpenPecha/PD8A263D2/archive/refs/heads/botok.zip,0.18
P688E4E68,https://github.com/OpenPecha/P688E4E68/archive/refs/heads/botok.zip,0.09
P0A4DBC4E,https://github.com/OpenPecha/P0A4DBC4E/archive/refs/heads/botok.zip,0.07
PA99BD59E,https://github.com/OpenPecha/PA99BD59E/archive/refs/heads/botok.zip,0.07
P1780A596,https://github.com/OpenPecha/P1780A596/archive/refs/heads/botok.zip,0.11
P154854BC,https://github.com/OpenPecha/P154854BC/archive/refs/heads/botok.zip,0.17
PD69660D1,https://github.com/OpenPecha/PD69660D1/archive/refs/heads/botok.zip,0.07
P0DFF25C5,https://github.com/OpenPecha/P0DFF25C5/archive/refs/heads/botok.zip,0.11
PA4D3B0D3,https://github.com/OpenPecha/PA4D3B0D3/archive/refs/heads/botok.zip,0.09
P94558C35,https://github.com/OpenPecha/P94558C35/archive/refs/heads/botok.zip,0.08
PB36417B6,https://github.com/OpenPecha/PB36417B6/archive/refs/heads/botok.zip,0.1
PAD313CC2,https://github.com/OpenPecha/PAD313CC2/archive/refs/heads/botok.zip,0.09
PF694747D,https://github.com/OpenPecha/PF694747D/archive/refs/heads/botok.zip,0.08
PECCA79BA,https://github.com/OpenPecha/PECCA79BA/archive/refs/heads/botok.zip,0.1
P159B1A21,https://github.com/OpenPecha/P159B1A21/archive/refs/heads/botok.zip,0.09
PC587C685,https://github.com/OpenPecha/PC587C685/archive/refs/heads/botok.zip,0.12
PF0496944,https://github.com/OpenPecha/PF0496944/archive/refs/heads/botok.zip,0.05
P1BD2934D,https://github.com/OpenPecha/P1BD2934D/archive/refs/heads/botok.zip,0.1
P3BE7CFB2,https://github.com/OpenPecha/P3BE7CFB2/archive/refs/heads/botok.zip,0.05
PDB45CEC9,https://github.com/OpenPecha/PDB45CEC9/archive/refs/heads/botok.zip,0.09
PE540AA3A,https://github.com/OpenPecha/PE540AA3A/archive/refs/heads/botok.zip,
P4A36CC31,https://github.com/OpenPecha/P4A36CC31/archive/refs/heads/botok.zip,0.12
P4DADD3C3,https://github.com/OpenPecha/P4DADD3C3/archive/refs/heads/botok.zip,0.11
PDCB8CAB0,https://github.com/OpenPecha/PDCB8CAB0/archive/refs/heads/botok.zip,0.09
P25FA9946,https://github.com/OpenPecha/P25FA9946/archive/refs/heads/botok.zip,0.06
PD6721660,https://github.com/OpenPecha/PD6721660/archive/refs/heads/botok.zip,0.1
P7FCBE252,https://github.com/OpenPecha/P7FCBE252/archive/refs/heads/botok.zip,0.06
P6685086B,https://github.com/OpenPecha/P6685086B/archive/refs/heads/botok.zip,0.17
P9C33C29C,https://github.com/OpenPecha/P9C33C29C/archive/refs/heads/botok.zip,0.1
P676366DB,https://github.com/OpenPecha/P676366DB/archive/refs/heads/botok.zip,0.09
P1F55B2DA,https://github.com/OpenPecha/P1F55B2DA/archive/refs/heads/botok.zip,0.11
PD71218F1,https://github.com/OpenPecha/PD71218F1/archive/refs/heads/botok.zip,0.13
P5B16B968,https://github.com/OpenPecha/P5B16B968/archive/refs/heads/botok.zip,0.08
P1F266394,https://github.com/OpenPecha/P1F266394/archive/refs/heads/botok.zip,0.06
P24A4BC24,https://github.com/OpenPecha/P24A4BC24/archive/refs/heads/botok.zip,0.09
P6F40FA2E,https://github.com/OpenPecha/P6F40FA2E/archive/refs/heads/botok.zip,0.1
P412980F9,https://github.com/OpenPecha/P412980F9/archive/refs/heads/botok.zip,0.11
PCEEB77B2,https://github.com/OpenPecha/PCEEB77B2/archive/refs/heads/botok.zip,0.1
PDB6F8F49,https://github.com/OpenPecha/PDB6F8F49/archive/refs/heads/botok.zip,0.11
P994144F0,https://github.com/OpenPecha/P994144F0/archive/refs/heads/botok.zip,0.12
P44873F1F,https://github.com/OpenPecha/P44873F1F/archive/refs/heads/botok.zip,0.1
P4070909D,https://github.com/OpenPecha/P4070909D/archive/refs/heads/botok.zip,0.09
P5939B33C,https://github.com/OpenPecha/P5939B33C/archive/refs/heads/botok.zip,0.08
P793CD0CC,https://github.com/OpenPecha/P793CD0CC/archive/refs/heads/botok.zip,0.2
P547AA824,https://github.com/OpenPecha/P547AA824/archive/refs/heads/botok.zip,0.14
PB78B7899,https://github.com/OpenPecha/PB78B7899/archive/refs/heads/botok.zip,0.07
P1D4F0DBA,https://github.com/OpenPecha/P1D4F0DBA/archive/refs/heads/botok.zip,0.08
P924700E0,https://github.com/OpenPecha/P924700E0/archive/refs/heads/botok.zip,0.11
P8FB5AA41,https://github.com/OpenPecha/P8FB5AA41/archive/refs/heads/botok.zip,0.09
P0D446784,https://github.com/OpenPecha/P0D446784/archive/refs/heads/botok.zip,0.09
PAB455A5F,https://github.com/OpenPecha/PAB455A5F/archive/refs/heads/botok.zip,0.12
PD2325CE7,https://github.com/OpenPecha/PD2325CE7/archive/refs/heads/botok.zip,0.1
P02464513,https://github.com/OpenPecha/P02464513/archive/refs/heads/botok.zip,0.09
